#;Company;Symbol;Portfolio%;Price;Chg;% Chg
365;Southwest Airlines Co.;LUV;0.04%;29.50;-0.10;(-0.34%)
366;Factset Research Systems;FDS;0.04%;469.13;-1.05;(-0.22%)
367;Hologic Inc;HOLX;0.04%;71.04;-0.03;(-0.04%)
368;Northern Trust Corp;NTRS;0.04%;83.86;0.06;(0.07%)
369;Hubbell Incorporated;HUBB;0.04%;325.99;1.44;(0.44%)
370;Principal Financial Group, Inc.;PFG;0.04%;78.90;0.19;(0.24%)
371;Tyler Technologies, Inc.;TYL;0.04%;415.00;2.51;(0.61%)
372;Atmos Energy Corporation;ATO;0.04%;114.91;1.16;(1.02%)
373;Omnicom Group Inc.;OMC;0.04%;86.08;-0.35;(-0.40%)
374;Mccormick & Company, Incorporated Non-Vtg Cs;MKC;0.04%;67.87;0.00;(0.00%)
375;Albemarle Corporation;ALB;0.04%;150.09;4.64;(3.19%)
376;Cms Energy Corporation;CMS;0.04%;57.23;0.32;(0.56%)
377;Epam Systems, Inc.;EPAM;0.04%;296.69;2.39;(0.81%)
378;Jabil Circuit;JBL;0.04%;0.00;0.00;(0.00%)
379;Brown & Brown, Inc.;BRO;0.04%;70.48;0.07;(0.10%)
380;Avery Dennison Corp.;AVY;0.04%;201.60;-1.10;(-0.54%)
381;Jb Hunt Transport Services Inc;JBHT;0.04%;201.70;1.06;(0.53%)
382;Idex Corporation;IEX;0.04%;214.38;0.27;(0.13%)
383;Jacobs Solutions Inc.;J;0.04%;128.07;0.53;(0.42%)
384;Cincinnati Financial Corp;CINF;0.04%;101.83;-0.04;(-0.04%)
385;Western Digital Corp.;WDC;0.04%;52.65;0.27;(0.52%)
386;Teradyne, Inc.;TER;0.04%;107.63;1.04;(0.98%)
387;Seagate Technology Holdings Plcs;STX;0.04%;85.16;-0.14;(-0.16%)
388;Eqt Corp;EQT;0.04%;38.99;-0.03;(-0.08%)
389;Textron, Inc.;TXT;0.04%;80.43;0.36;(0.45%)
390;Essex Property Trust, Inc;ESS;0.04%;244.37;2.25;(0.93%)
391;Synchrony Financial;SYF;0.04%;37.94;-0.11;(-0.29%)
392;Everest Group, Ltd.;EG;0.04%;353.64;-3.99;(-1.12%)
393;Mid-America Apartment Communities, Inc.;MAA;0.04%;133.12;1.09;(0.83%)
394;Pool Corporation;POOL;0.04%;396.40;0.77;(0.19%)
395;Masco Corporation;MAS;0.04%;67.22;-0.16;(-0.24%)
396;Citizens Financial Group, Inc.;CFG;0.04%;33.06;0.15;(0.46%)
397;Celanese Corporation;CE;0.04%;155.44;1.11;(0.72%)
398;Quest Diagnostics Inc.;DGX;0.04%;136.74;0.70;(0.51%)
399;Snap-on Incorporated;SNA;0.04%;288.15;1.13;(0.39%)
400;Lamb Weston Holdings, Inc.;LW;0.04%;104.70;0.74;(0.71%)
401;Cf Industries Holding, Inc.;CF;0.04%;80.45;0.62;(0.78%)
402;Stanley Black & Decker, Inc.;SWK;0.04%;98.16;1.24;(1.28%)
403;Bunge Limited;BG;0.04%;106.90;0.92;(0.87%)
404;Best Buy Company, Inc.;BBY;0.04%;76.14;0.32;(0.42%)
405;Packaging Corp of America;PKG;0.04%;163.68;0.44;(0.27%)
406;Tyson Foods, Inc.;TSN;0.04%;51.94;0.28;(0.54%)
407;Insulet Corporation;PODD;0.04%;216.18;-2.79;(-1.27%)
408;Leidos Holdings, Inc.;LDOS;0.04%;107.63;1.04;(0.98%)
409;Marathon Oil Corporation;MRO;0.04%;24.64;-0.07;(-0.28%)
410;Domino's Pizza Inc.;DPZ;0.04%;409.84;1.04;(0.25%)
411;W.R. Berkley Corporation;WRB;0.04%;70.21;0.45;(0.65%)
412;Kellanova;K;0.04%;54.48;0.63;(1.17%)
413;Amcor Plcs;AMCR;0.04%;9.68;-0.03;(-0.31%)
414;Nordson Corp;NDSN;0.03%;261.36;2.19;(0.85%)
415;Host Hotels & Resorts, Inc.;HST;0.03%;19.77;0.20;(1.02%)
416;United Airlines Holdings, Inc.;UAL;0.03%;42.55;-0.03;(-0.07%)
417;Conagra Brands, Inc.;CAG;0.03%;28.66;0.19;(0.67%)
418;Zebra Technologies Corporation;ZBRA;0.03%;269.41;4.10;(1.55%)
419;Kimco Realty Corp.;KIM;0.03%;21.76;-0.08;(-0.37%)
420;Keycorp;KEY;0.03%;14.29;0.01;(0.07%)
421;Revvity, Inc.;RVTY;0.03%;107.71;1.95;(1.84%)
422;Live Nation Entertainment Inc.;LYV;0.03%;91.43;0.03;(0.03%)
423;Gen Digital Inc.;GEN;0.03%;23.14;-0.04;(-0.17%)
424;Trimble Inc.;TRMB;0.03%;52.44;0.07;(0.13%)
425;Lkq Corporation;LKQ;0.03%;47.80;0.37;(0.78%)
426;Alliant Energy Corporation;LNT;0.03%;50.94;0.35;(0.69%)
427;International Paper Co.;IP;0.03%;36.64;0.06;(0.16%)
428;The J.M. Smucker Company;SJM;0.03%;124.76;1.10;(0.89%)
429;Viatris Inc.;VTRS;0.03%;10.65;0.00;(0.00%)
430;The Interpublic Group of Companies, Inc.;IPG;0.03%;32.86;-0.11;(-0.33%)
431;Loews Corporation;L;0.03%;68.80;0.28;(0.41%)
432;Aes Corporation;AES;0.03%;19.10;0.25;(1.33%)
433;Bio-Techne Corp.;TECH;0.03%;77.52;-0.21;(-0.27%)
434;Rollins, Inc.;ROL;0.03%;42.98;0.17;(0.40%)
435;Henry (Jack) & Associates;JKHY;0.03%;165.08;1.81;(1.11%)
436;Mgm Resorts International;MGM;0.03%;44.38;-0.11;(-0.25%)
437;Carmax Inc.;KMX;0.03%;76.52;-2.03;(-2.58%)
438;Charles River Laboratories International, Inc.;CRL;0.03%;236.23;0.51;(0.22%)
439;Evergy, Inc.;EVRG;0.03%;51.38;0.31;(0.61%)
440;The Mosaic Company;MOS;0.03%;36.21;-0.12;(-0.33%)
441;Teleflex Incorporated;TFX;0.03%;250.95;-0.48;(-0.19%)
442;Pentair Plc;PNR;0.03%;71.89;0.60;(0.84%)
443;Molson Coors Beverage Company Class B;TAP;0.03%;61.36;0.32;(0.52%)
444;Incyte Genomics Inc;INCY;0.03%;62.85;1.16;(1.88%)
445;Udr, Inc.;UDR;0.03%;37.65;0.37;(0.99%)
446;Nrg Energy, Inc.;NRG;0.03%;50.00;-0.09;(-0.18%)
447;Apa Corporation;APA;0.03%;35.96;0.02;(0.06%)
448;Westrock Company;WRK;0.03%;41.75;-0.16;(-0.38%)
449;Regency Centers Corporation;REG;0.03%;66.61;0.05;(0.08%)
450;Healthpeak Properties, Inc.;PEAK;0.03%;19.70;0.30;(1.55%)
451;Qorvo, Inc.;QRVO;0.03%;112.60;1.39;(1.25%)
452;Allegion Public Limited Company;ALLE;0.03%;126.12;3.11;(2.53%)
453;Nisource Inc.;NI;0.03%;26.25;0.21;(0.81%)
454;F5, Inc.;FFIV;0.03%;178.99;0.90;(0.51%)
455;Marketaxess Holdings Inc.;MKTX;0.03%;288.19;2.51;(0.88%)
456;Eastman Chemical Company;EMN;0.03%;89.73;0.60;(0.67%)
457;Globe Life Inc.;GL;0.03%;121.59;-0.08;(-0.07%)
458;Camden Property Trust;CPT;0.03%;97.79;0.55;(0.57%)
459;Brown-Forman Corporation Class B;BF.B;0.03%;57.73;0.19;(0.33%)
460;Ceridian Hcm Holding;CDAY;0.03%;66.96;-0.33;(-0.49%)
461;Huntington Ingalls Industries, Inc.;HII;0.03%;256.09;2.07;(0.81%)
462;Etsy, Inc.;ETSY;0.03%;84.95;-0.29;(-0.34%)
463;Boston Properties, Inc.;BXP;0.03%;70.87;-0.38;(-0.53%)
464;Paycom Software, Inc.;PAYC;0.03%;205.60;-1.00;(-0.48%)
465;C.H. Robinson Worldwide, Inc.;CHRW;0.03%;87.27;1.42;(1.65%)
466;Caesars Entertainment, Inc.;CZR;0.03%;46.82;-0.85;(-1.78%)
467;A.O. Smith Corporation;AOS;0.02%;81.73;0.17;(0.21%)
468;Henry Schein Inc;HSIC;0.02%;74.94;-0.05;(-0.07%)
469;Bath & Body Works, Inc.;BBWI;0.02%;43.09;-0.63;(-1.44%)
470;Juniper Networks Inc;JNPR;0.02%;29.45;0.24;(0.82%)
471;Match Group, Inc;MTCH;0.02%;35.20;0.06;(0.17%)
472;Robert Half Inc.;RHI;0.02%;87.27;0.45;(0.52%)
473;American Airlines Group Inc.;AAL;0.02%;14.31;-0.04;(-0.28%)
474;Hormel Foods Corporation;HRL;0.02%;31.76;0.09;(0.28%)
475;Universal Health Services, Inc. Class B;UHS;0.02%;153.08;2.07;(1.37%)
476;News Corporation Class A;NWSA;0.02%;23.80;0.10;(0.42%)
477;Assurant, Inc.;AIZ;0.02%;165.94;0.76;(0.46%)
478;Wynn Resorts Ltd;WYNN;0.02%;90.42;-0.30;(-0.33%)
479;Tapestry, Inc.;TPR;0.02%;37.05;-0.50;(-1.33%)
480;Campbell Soup Company;CPB;0.02%;43.00;0.23;(0.54%)
481;Franklin Resources, Inc.;BEN;0.02%;29.70;0.15;(0.51%)
482;Norwegian Cruise Line Holdings Ltd.s;NCLH;0.02%;20.95;0.00;(0.00%)
483;Borgwarner Inc.;BWA;0.02%;35.83;-0.08;(-0.22%)
484;Pinnacle West Capital Corporation;PNW;0.02%;71.13;0.32;(0.45%)
485;Generac Holdings Inc;GNRC;0.02%;128.81;-0.66;(-0.51%)
486;Invesco Ltd;IVZ;0.02%;17.70;0.22;(1.26%)
487;Catalent, Inc.;CTLT;0.02%;44.08;0.18;(0.41%)
488;Federal Realty Investment Trust;FRT;0.02%;104.01;-0.44;(-0.42%)
489;Fmc Corporation;FMC;0.02%;62.74;0.64;(1.03%)
490;Paramount Global Class B;PARA;0.02%;15.00;-0.07;(-0.46%)
491;Fox Corporation Class A;FOXA;0.02%;29.81;-0.16;(-0.53%)
492;Dentsply Sirona Inc.;XRAY;0.02%;35.22;0.03;(0.09%)
493;Comerica Incorporated;CMA;0.02%;55.16;0.09;(0.16%)
494;Bio-Rad Laboratories, Inc.Class A;BIO;0.02%;320.74;1.17;(0.37%)
495;Hasbro, Inc.;HAS;0.02%;51.02;-0.06;(-0.12%)
496;Whirlpool Corp.;WHR;0.02%;119.13;0.79;(0.67%)
497;Zions Bancorporation N.a.;ZION;0.02%;44.00;0.38;(0.87%)
498;V.F. Corporation;VFC;0.02%;18.59;-0.62;(-3.23%)
499;Ralph Lauren Corporation;RL;0.01%;145.47;-2.45;(-1.66%)
500;Davita Inc.;DVA;0.01%;104.33;-0.43;(-0.41%)
501;Mohawk Industries, Inc.;MHK;0.01%;103.11;0.16;(0.16%)
502;Fox Corporation Class B;FOX;0.01%;27.75;-0.14;(-0.50%)
503;News Corporation Class B;NWS;0.01%;24.94;0.13;(0.52%)
